proj_id,player_id,cbb_player_key,player,player_norm,team_abbr,opp_team_abbr,pp_team,pp_opp_team,pos,prop_type,prop_norm,pick_type,line,start_time,pp_game_id,league_id,team,stat_type,odds_type,duration,opp_def_rank,opp_def_ppg,opp_def_tier,def_tier,OVERALL_DEF_RANK,team_id,espn_athlete_id,attach_status,stat_status,games_used,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,min_last5_avg,min_season_avg,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hits_over_10,line_hits_under_10,line_hits_push_10,line_hit_rate_over_10,line_hit_rate_under_10,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,model_dir_5
10614948,274122,cameron boozer|DUKE,Cameron Boozer,cameron boozer,DUKE,,DUKE,,F,Points,pts,Standard,23.5,2026-03-19T13:00:00.000-04:00,144502,20,DUKE,Points,standard,Full,,,,,,150,5041935,OK_TEAM,OK,24.0,13.0,24.0,23.0,26.0,26.0,18.0,24.0,18.0,22.0,18.0,22.4,21.2,22.292,36.0,34.2,3.0,2.0,0.0,0.6,0.4,0.6,0.4,4.0,6.0,0.0,0.4,0.6,0.4,0.6,OVER
10621269,296783,dontae horne|PV,Dontae Horne,dontae horne,PV,LEH,PV,LEH,G,Pts+Asts,pa,Standard,27.5,2026-03-18T18:40:00.000-04:00,144550,20,PV,Pts+Asts,standard,Full,,,,,,2504,5176727,OK_TEAM,OK,25.0,20.0,31.0,32.0,29.0,29.0,22.0,31.0,35.0,31.0,29.0,28.2,28.9,26.48,39.2,34.2,4.0,1.0,0.0,0.8,0.2,0.8,0.2,8.0,2.0,0.0,0.8,0.2,0.8,0.2,OVER
10619059,289549,nasir whitlock|LEH,Nasir Whitlock,nasir whitlock,LEH,PV,LEH,PV,G,Pts+Asts,pa,Standard,25.5,2026-03-18T18:40:00.000-04:00,144550,20,LEH,Pts+Asts,standard,Full,,,,,,2329,5176076,OK_TEAM,OK,23.0,22.0,32.0,31.0,39.0,20.0,34.0,21.0,20.0,35.0,23.0,28.8,27.7,26.261,35.8,36.7,3.0,2.0,0.0,0.6,0.4,0.6,0.4,5.0,5.0,0.0,0.5,0.5,0.5,0.5,OVER
10621945,296783,dontae horne|PV,Dontae Horne,dontae horne,PV,LEH,PV,LEH,G,Points,pts,Standard,24.5,2026-03-18T18:40:00.000-04:00,144550,20,PV,Points,standard,Full,,,,,,2504,5176727,OK_MAP,OK,25.0,15.0,25.0,30.0,26.0,26.0,16.0,26.0,32.0,30.0,26.0,24.4,25.2,23.28,39.2,34.2,4.0,1.0,0.0,0.8,0.2,0.8,0.2,8.0,2.0,0.0,0.8,0.2,0.8,0.2,OVER
10621267,296782,cory wells|PV,Cory Wells,cory wells,PV,LEH,PV,LEH,F,Pts+Rebs+Asts,pra,Standard,22.5,2026-03-18T18:40:00.000-04:00,144550,20,PV,Pts+Rebs+Asts,standard,Full,,,,,,2504,4904928,OK_TEAM,OK,25.0,22.0,25.0,33.0,19.0,29.0,18.0,33.0,17.0,20.0,20.0,25.6,23.6,23.36,37.6,34.2,3.0,2.0,0.0,0.6,0.4,0.6,0.4,4.0,6.0,0.0,0.4,0.6,0.4,0.6,OVER
10619058,289548,joshua ingram|LEH,Joshua Ingram,joshua ingram,LEH,PV,LEH,PV,G,Pts+Rebs+Asts,pra,Standard,21.5,2026-03-18T18:40:00.000-04:00,144550,20,LEH,Pts+Rebs+Asts,standard,Full,,,,,,2329,5176077,OK_TEAM,OK,23.0,21.0,19.0,22.0,27.0,18.0,16.0,9.0,26.0,24.0,12.0,21.4,19.4,19.87,36.0,36.2,2.0,3.0,0.0,0.4,0.6,0.4,0.6,4.0,6.0,0.0,0.4,0.6,0.4,0.6,UNDER
10621207,289549,nasir whitlock|LEH,Nasir Whitlock,nasir whitlock,LEH,PV,LEH,PV,G,Points,pts,Standard,21.5,2026-03-18T18:40:00.000-04:00,144550,20,LEH,Points,standard,Full,,,,,,2329,5176076,OK_MAP,OK,23.0,18.0,22.0,29.0,32.0,16.0,30.0,20.0,15.0,33.0,18.0,23.4,23.3,22.13,35.8,36.7,3.0,2.0,0.0,0.6,0.4,0.6,0.4,5.0,5.0,0.0,0.5,0.5,0.5,0.5,OVER
10621266,296782,cory wells|PV,Cory Wells,cory wells,PV,LEH,PV,LEH,F,Pts+Rebs,pr,Standard,20.5,2026-03-18T18:40:00.000-04:00,144550,20,PV,Pts+Rebs,standard,Full,,,,,,2504,4904928,OK_MAP,OK,25.0,22.0,24.0,32.0,15.0,27.0,14.0,32.0,15.0,17.0,18.0,24.0,21.6,20.88,37.6,34.2,4.0,1.0,0.0,0.8,0.2,0.8,0.2,5.0,5.0,0.0,0.5,0.5,0.5,0.5,OVER
10619049,289545,hank alvey|LEH,Hank Alvey,hank alvey,LEH,PV,LEH,PV,F-C,Pts+Asts,pa,Standard,18.5,2026-03-18T18:40:00.000-04:00,144550,20,LEH,Pts+Asts,standard,Full,,,,,,2329,5243042,OK_TEAM,OK,23.0,19.0,30.0,17.0,26.0,27.0,11.0,13.0,24.0,22.0,28.0,23.8,21.7,18.696,34.0,32.7,4.0,1.0,0.0,0.8,0.2,0.8,0.2,7.0,3.0,0.0,0.7,0.3,0.7,0.3,OVER
10621946,289545,hank alvey|LEH,Hank Alvey,hank alvey,LEH,PV,LEH,PV,F-C,Points,pts,Standard,17.0,2026-03-18T18:40:00.000-04:00,144550,20,LEH,Points,standard,Full,,,,,,2329,5243042,OK_MAP,OK,23.0,14.0,30.0,14.0,22.0,24.0,9.0,8.0,22.0,18.0,28.0,20.8,18.9,16.609,34.0,32.7,3.0,2.0,0.0,0.6,0.4,0.6,0.4,6.0,4.0,0.0,0.6,0.4,0.6,0.4,OVER
10619044,305478,edouard benoit|LEH,Edouard Benoit,edouard benoit,LEH,PV,LEH,PV,F,Pts+Rebs,pr,Standard,16.5,2026-03-18T18:40:00.000-04:00,144550,20,LEH,Pts+Rebs,standard,Full,,,,,,2329,5243039,OK_TEAM,OK,20.0,22.0,16.0,12.0,12.0,5.0,5.0,18.0,15.0,8.0,17.0,13.4,13.0,17.4,25.4,29.6,1.0,4.0,0.0,0.2,0.8,0.2,0.8,3.0,7.0,0.0,0.3,0.7,0.3,0.7,UNDER
