TEAM_ABBREVIATION,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER
ATL,116.6,89.9,42.5,36.8,13.1,23.3,15.9,53.10000000000001,29.4,58.8,19,15,17,21,18,21,21,21,13,5,18.376344086021504,19,Avg
BOS,107.1,86.5,38.2,39.1,14.0,21.4,12.6,47.4,24.200000000000003,48.400000000000006,1,25,26,6,2,1,2,2,3,28,4.666666666666666,1,Elite
BKN,115.6,85.4,42.1,32.8,12.4,24.1,13.9,52.60000000000001,29.700000000000003,59.400000000000006,16,4,1,2,17,17,24,24,20,20,15.053763440860214,17,Avg
CHA,112.3,88.2,41.4,35.6,12.8,20.7,12.7,52.6,28.599999999999998,57.199999999999996,9,10,7,11,12,16,13,13,1,27,9.924731182795698,10,Above Avg
CHI,120.0,93.5,44.3,37.8,13.9,22.6,12.6,55.7,30.4,60.8,27,24,21,29,27,28,26,26,11,28,25.354838709677416,28,Weak
CLE,114.9,89.0,41.2,37.4,13.8,23.6,15.6,51.6,27.400000000000002,54.800000000000004,13,23,18,15,10,13,7,7,16,9,12.93548387096774,11,Above Avg
DAL,118.2,94.1,44.4,36.6,12.5,21.9,13.2,57.49999999999999,31.9,63.8,23,6,16,30,30,30,29,29,5,25,22.849462365591396,24,Weak
DEN,116.7,90.7,42.7,38.3,13.5,23.2,12.1,52.400000000000006,29.200000000000003,58.400000000000006,21,19,22,23,22,15,19,19,12,30,20.118279569892472,22,Avg
DET,109.8,85.1,37.6,36.5,12.7,27.6,17.0,48.599999999999994,24.900000000000002,49.800000000000004,3,8,13,1,1,4,3,3,30,1,5.21505376344086,2,Elite
GSW,114.4,88.6,41.9,35.8,12.7,22.1,16.0,52.8,29.2,58.4,12,8,8,14,16,19,18,18,7,4,13.18279569892473,12,Above Avg
HOU,109.8,87.9,40.3,35.2,12.4,22.3,13.4,52.7,27.9,55.8,3,4,5,10,7,18,9,9,9,23,6.204301075268817,3,Elite
IND,119.9,89.5,43.9,33.4,11.8,26.5,13.7,56.1,32.099999999999994,64.19999999999999,26,1,2,18,25,29,30,30,27,21,22.967741935483872,25,Weak
LAC,112.7,87.6,41.0,36.5,13.3,21.9,14.0,51.099999999999994,27.7,55.4,10,16,13,7,8,10,8,8,5,19,9.139784946236558,8,Above Avg
LAL,114.9,87.8,42.5,36.4,13.0,21.4,14.8,51.4,29.5,59.0,13,14,11,8,18,11,22,22,3,13,14.236559139784946,14,Above Avg
MEM,118.6,90.8,43.2,38.7,14.0,23.3,15.5,52.099999999999994,29.200000000000003,58.400000000000006,24,25,24,24,23,14,19,19,13,11,22.139784946236556,23,Weak
MIA,116.6,93.0,42.6,39.3,13.7,22.1,15.7,53.7,28.900000000000002,57.800000000000004,19,20,27,28,21,22,15,15,7,8,18.827956989247312,20,Avg
MIL,116.1,88.2,41.3,39.9,14.8,24.1,13.1,48.300000000000004,26.499999999999996,52.99999999999999,18,29,28,11,11,3,5,5,20,26,14.999999999999998,15,Avg
MIN,115.2,89.5,41.5,34.8,12.5,25.3,14.7,54.7,29.0,58.0,15,6,4,18,13,27,16,16,26,14,15.032258064516128,16,Avg
NOP,119.7,91.8,43.5,41.2,14.4,23.7,14.6,50.599999999999994,29.1,58.2,25,28,29,26,24,9,17,17,17,15,23.236559139784944,26,Weak
NYK,110.6,86.1,39.3,38.4,13.7,23.4,14.3,47.699999999999996,25.599999999999998,51.199999999999996,5,20,23,4,4,2,4,4,15,16,6.989247311827956,5,Elite
OKC,107.7,88.2,38.4,38.9,14.2,22.3,16.9,49.300000000000004,24.2,48.4,2,27,25,11,3,6,1,1,9,2,6.311827956989246,4,Elite
ORL,114.2,87.8,41.6,33.7,11.8,24.9,14.9,54.099999999999994,29.8,59.6,11,1,3,8,14,24,25,25,25,12,13.709677419354838,13,Above Avg
PHI,116.0,89.1,41.8,37.5,13.4,24.2,15.9,51.599999999999994,28.4,56.8,17,18,19,16,15,12,12,12,22,5,16.193548387096772,18,Avg
PHX,111.3,85.6,40.2,35.4,12.2,23.8,16.3,50.199999999999996,28.000000000000004,56.00000000000001,6,3,6,3,6,8,10,10,18,3,7.032258064516128,6,Elite
POR,117.2,89.8,42.5,35.8,12.9,24.6,15.6,54.0,29.6,59.2,22,12,8,20,18,23,23,23,23,9,20.096774193548384,21,Avg
SAC,120.6,89.2,43.9,36.1,13.3,24.8,14.3,53.1,30.599999999999998,61.199999999999996,28,16,10,17,25,20,27,27,24,16,24.376344086021504,27,Weak
SAS,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7,12,13,25,8,25,11,11,2,24,9.903225806451612,9,Above Avg
TOR,111.9,86.3,40.1,36.4,12.8,23.9,15.9,49.9,27.3,54.6,8,10,11,5,5,7,6,6,19,5,7.870967741935484,7,Elite
UTA,124.9,90.6,44.3,41.5,15.4,27.0,14.3,49.099999999999994,28.9,57.8,30,30,30,22,27,5,14,14,29,16,25.827956989247312,29,Weak
WAS,123.7,92.3,44.3,37.7,13.7,26.9,13.7,54.599999999999994,30.599999999999998,61.199999999999996,29,20,20,27,27,26,27,27,28,21,26.978494623655912,30,Weak
