team,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_wins,opp_gp,def_rank,def_tier
ANA,3.471,0.0,0.0,3.309,0.0,0.0,37,68,29,WEAK
BOS,3.116,0.0,0.0,3.333,0.0,0.0,38,69,17,AVERAGE
BUF,2.899,0.0,0.0,3.507,0.0,0.0,43,69,7,ELITE
CAR,2.971,0.0,0.0,3.544,0.0,0.0,43,68,10,SOLID
CBJ,3.118,0.0,0.0,3.279,0.0,0.0,36,68,19,AVERAGE
CGY,3.132,0.0,0.0,2.485,0.0,0.0,27,68,21,AVERAGE
CHI,3.206,0.0,0.0,2.647,0.0,0.0,26,68,23,AVERAGE
COL,2.567,0.0,0.0,3.731,0.0,0.0,44,67,1,ELITE
DAL,2.721,0.0,0.0,3.485,0.0,0.0,43,68,2,ELITE
DET,2.957,0.0,0.0,2.942,0.0,0.0,38,69,8,ELITE
EDM,3.414,0.0,0.0,3.471,0.0,0.0,34,70,28,WEAK
FLA,3.309,0.0,0.0,3.015,0.0,0.0,34,68,26,WEAK
LAK,3.015,0.0,0.0,2.691,0.0,0.0,28,68,11,SOLID
MIN,2.871,0.0,0.0,3.3,0.0,0.0,39,70,6,ELITE
MTL,3.309,0.0,0.0,3.485,0.0,0.0,37,68,25,WEAK
NJD,3.044,0.0,0.0,2.735,0.0,0.0,35,68,12,SOLID
NSH,3.368,0.0,0.0,2.971,0.0,0.0,31,68,27,WEAK
NYI,2.826,0.0,0.0,2.928,0.0,0.0,39,69,5,ELITE
NYR,3.203,0.0,0.0,2.841,0.0,0.0,28,69,22,AVERAGE
OTT,3.103,0.0,0.0,3.368,0.0,0.0,35,68,16,SOLID
PHI,3.088,0.0,0.0,2.912,0.0,0.0,33,68,15,SOLID
PIT,3.088,0.0,0.0,3.456,0.0,0.0,34,68,14,SOLID
SEA,3.059,0.0,0.0,2.853,0.0,0.0,31,68,13,SOLID
SJS,3.567,0.0,0.0,3.09,0.0,0.0,32,67,31,WEAK
STL,3.294,0.0,0.0,2.618,0.0,0.0,27,68,24,AVERAGE
TBL,2.776,0.0,0.0,3.627,0.0,0.0,42,67,4,ELITE
TOR,3.493,0.0,0.0,3.13,0.0,0.0,29,69,30,WEAK
UTA,2.768,0.0,0.0,3.159,0.0,0.0,36,69,3,ELITE
VAN,3.735,0.0,0.0,2.618,0.0,0.0,21,68,32,WEAK
VGK,3.116,0.0,0.0,3.188,0.0,0.0,31,69,18,AVERAGE
WPG,3.118,0.0,0.0,2.824,0.0,0.0,28,68,20,AVERAGE
WSH,2.957,0.0,0.0,3.13,0.0,0.0,34,69,9,SOLID
