team_name,pp_name,league,gp,goals_conceded,goals_conceded_pg,shots_conceded_pg,clean_sheets,wins,draws,losses,OVERALL_DEF_RANK,DEF_TIER
Newcastle Jets,NEWCASTLE JETS,A-League,21,32.0,1.524,,0,13,0,7,9,Avg
Auckland FC,AUCKLAND,A-League,21,21.0,1.0,,0,11,0,4,1,Elite
Sydney FC,SYDNEY,A-League,21,21.0,1.0,,0,10,0,8,1,Elite
Melbourne Victory,MELBOURNE VICTORY,A-League,21,27.0,1.286,,0,9,0,7,3,Elite
Adelaide United,ADELAIDE,A-League,21,30.0,1.429,,0,9,0,7,7,Avg
Central Coast Mariners,CENTRAL COAST,A-League,20,28.0,1.4,,0,7,0,7,6,Above Avg
Melbourne City FC,MELBOURNE CITY,A-League,20,27.0,1.35,,0,6,0,7,5,Above Avg
Macarthur FC,MACARTHUR,A-League,21,35.0,1.667,,0,6,0,8,11,Weak
Brisbane Roar,BRISBANE,A-League,21,27.0,1.286,,0,6,0,9,3,Elite
Wellington Phoenix FC,WELLINGTON PHOENIX,A-League,21,40.0,1.905,,0,6,0,9,12,Weak
Perth Glory,PERTH,A-League,21,34.0,1.619,,0,6,0,11,10,Weak
Western Sydney Wanderers,WSW,A-League,21,30.0,1.429,,0,5,0,10,7,Avg
Boca Juniors,BOCA JUNIORS,Argentina,10,7.0,0.7,,0,3,0,2,6,Elite
Estudiantes de La Plata,ESTUDIANTES,Argentina,9,4.0,0.444,,0,4,0,2,1,Elite
Independiente,INDEPENDIENTE,Argentina,10,13.0,1.3,,0,3,0,2,23,Weak
Lanús,LANÚS,Argentina,8,12.0,1.5,,0,3,0,2,27,Weak
Newell's Old Boys,NEWELL'S,Argentina,9,17.0,1.889,,0,0,0,6,30,Weak
San Lorenzo,SAN LORENZO,Argentina,10,11.0,1.1,,0,3,0,3,19,Avg
Talleres (Córdoba),TALLERES,Argentina,10,9.0,0.9,,0,4,0,3,11,Above Avg
Unión (Santa Fe),UNIÓN,Argentina,10,10.0,1.0,,0,4,0,2,17,Avg
Vélez Sarsfield,VÉLEZ,Argentina,10,5.0,0.5,,0,6,0,0,2,Elite
Instituto (Córdoba),INSTITUTO,Argentina,10,13.0,1.3,,0,3,0,5,23,Weak
Platense,PLATENSE,Argentina,10,6.0,0.6,,0,3,0,2,5,Elite
Defensa y Justicia,DEF Y JUSTICIA,Argentina,10,8.0,0.8,,0,3,0,0,10,Above Avg
Gimnasia (Mendoza),GIMNASIA (MENDOZA),Argentina,9,10.0,1.111,,0,2,0,4,21,Avg
Central Córdoba (Santiago del Estero),CENTRAL CÓRDOBA,Argentina,9,7.0,0.778,,0,2,0,4,9,Above Avg
Deportivo Riestra,RIESTRA,Argentina,9,5.0,0.556,,0,0,0,3,4,Elite
Argentinos Juniors,ARGENTINOS,Argentina,8,4.0,0.5,,0,2,0,1,2,Elite
Belgrano (Córdoba),BELGRANO,Argentina,10,7.0,0.7,,0,5,0,1,6,Elite
Gimnasia La Plata,GELP,Argentina,10,14.0,1.4,,0,4,0,4,26,Weak
Huracán,HURACÁN,Argentina,10,9.0,0.9,,0,3,0,3,11,Above Avg
