team,season,games,drives,pace_rank,plays_per_game,plays_per_drive,sec_per_play,no_huddle_rate,plays_per_game_rank,sec_per_play_rank,tier
ARI,2026,1,11,5,72.0,6.545454545454546,30.12995211858848,0.04397874852420307,4,18,Fast
ATL,2026,1,13,26,57.0,4.384615384615385,31.449084249084247,0.026373626373626374,19,25,Slow
BAL,2026,1,13,20,64.0,4.923076923076923,31.076068376068374,0.03076923076923077,12,24,Below Avg
BUF,2026,1,12,9,53.0,4.416666666666667,24.797321428571426,0.027777777777777776,22,3,Above Avg
CAR,2026,1,13,9,62.0,4.769230769230769,26.46043956043956,0.07435897435897434,17,8,Above Avg
CHI,2026,1,14,2,70.0,5.0,24.953601953601954,0.030830280830280832,5,4,Fast
CIN,2026,1,9,18,63.0,7.0,30.294753086419753,0.0617283950617284,15,19,Avg
CLE,2026,1,9,29,49.0,5.444444444444445,30.687830687830683,0.044444444444444446,29,22,Slow
DAL,2026,1,7,17,52.0,7.428571428571429,25.21587301587302,0.0873015873015873,25,5,Avg
DEN,2026,1,12,32,47.0,3.9166666666666665,33.03373015873016,0.05555555555555555,32,29,Slow
DET,2026,1,14,4,73.0,5.214285714285714,27.405945839874413,0.023809523809523808,2,13,Fast
GB,2026,1,12,3,67.0,5.583333333333333,23.47542388167388,0.13113275613275613,8,2,Fast
HOU,2026,1,11,12,73.0,6.636363636363637,31.452331002331004,0.06188811188811189,2,26,Above Avg
IND,2026,1,12,12,53.0,4.416666666666667,25.42013888888889,0.13194444444444445,22,6,Above Avg
JAX,2026,1,9,30,56.0,6.222222222222222,37.18549382716049,0.06080246913580248,21,31,Slow
KC,2026,1,12,5,67.0,5.583333333333333,27.98105158730159,0.0,8,14,Fast
LAC,2026,1,10,18,51.0,5.1,25.639166666666664,0.025,27,7,Avg
LAR,2026,1,10,12,57.0,5.7,26.57452380952381,0.11095238095238096,19,9,Above Avg
LV,2026,1,11,7,67.0,6.090909090909091,28.39534632034632,0.045454545454545456,8,15,Above Avg
MIA,2026,1,11,27,50.0,4.545454545454546,29.10580808080808,0.022727272727272728,28,17,Slow
MIN,2026,1,13,15,62.0,4.769230769230769,27.24988344988345,0.04761904761904762,17,12,Avg
NE,2026,1,9,21,67.0,7.444444444444445,33.28174603174603,0.0,8,30,Below Avg
NO,2026,1,14,1,87.0,6.214285714285714,20.639174912389198,0.2013373531230674,1,1,Fast
NYG,2026,1,7,11,68.0,9.714285714285714,30.671454735740447,0.017857142857142856,6,21,Above Avg
NYJ,2026,1,11,28,63.0,5.7272727272727275,37.45681818181818,0.018181818181818184,15,32,Slow
PHI,2026,1,12,25,53.0,4.416666666666667,30.506249999999998,0.10902777777777778,22,20,Below Avg
PIT,2026,1,13,7,64.0,4.923076923076923,27.235897435897435,0.04835164835164835,12,11,Above Avg
SEA,2026,1,10,31,48.0,4.8,31.610000000000003,0.02,31,28,Slow
SF,2026,1,9,22,64.0,7.111111111111111,31.554641654641653,0.0,12,27,Below Avg
TB,2026,1,9,24,52.0,5.777777777777778,28.80652557319224,0.09576719576719576,25,16,Below Avg
TEN,2026,1,9,22,49.0,5.444444444444445,26.696873496873497,0.18518518518518517,29,10,Below Avg
WSH,2026,1,12,15,68.0,5.666666666666667,30.748931623931625,0.08173076923076923,6,23,Avg
