player,player_norm,gsis_id,pfr_player_id,team,position,season,as_of_week,games,snap_pct_L3,snap_pct_season,wopr_L3,wopr_season,target_share_L3,target_share_season,air_yards_share_L3,route_pct_L3,route_pct_season,route_pct_source,targets_L3,receptions_L3
Trey McBride,trey mcbride,00-0037744,McBrTr01,ARI,TE,2026,1,1,80.0,80.0,0.7472,0.7472,0.3514,0.3514,0.3145,80.0,80.0,snap_proxy,13,9
Michael Wilson,michael wilson,00-0038559,WilsMi02,ARI,WR,2026,1,1,85.0,85.0,0.4891,0.4891,0.1892,0.1892,0.2933,85.0,85.0,snap_proxy,7,5
Kendrick Bourne,kendrick bourne,00-0033307,BourKe00,ARI,WR,2026,1,1,67.0,67.0,0.4233,0.4233,0.2162,0.2162,0.1413,67.0,67.0,snap_proxy,8,8
Marvin Harrison Jr.,marvin harrison,00-0039849,HarrMa09,ARI,WR,2026,1,1,79.0,79.0,0.2972,0.2972,0.0811,0.0811,0.2509,79.0,79.0,snap_proxy,3,1
Jeremiyah Love,jeremiyah love,00-0041027,LoveJe00,ARI,RB,2026,1,1,43.0,43.0,0.1745,0.1745,0.1081,0.1081,0.0177,43.0,43.0,snap_proxy,4,2
Tyler Allgeier,tyler allgeier,00-0037263,AllgTy00,ARI,RB,2026,1,1,59.0,59.0,0.0687,0.0687,0.0541,0.0541,-0.0177,59.0,59.0,snap_proxy,2,2
Devin Duvernay,devin duvernay,00-0036331,DuveDe00,ARI,WR,2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,snap_proxy,0,0
Hunter Long,hunter long,00-0037004,LongHu00,ARI,TE,2026,1,1,35.0,35.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,snap_proxy,0,0
Simi Fehoko,simi fehoko,00-0036646,FehoSi00,ARI,WR,2026,1,1,8.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,snap_proxy,0,0
Elijah Higgins,elijah higgins,nan,HiggEl00,ARI,TE,2026,1,1,27.0,27.0,,,,,,27.0,27.0,snap_proxy,0,0
Jalen Brooks,jalen brooks,nan,BrooJa03,ARI,WR,2026,1,1,5.0,5.0,,,,,,5.0,5.0,snap_proxy,0,0
Zonovan Knight,zonovan knight,nan,KnigZo00,ARI,RB,2026,1,1,4.0,4.0,,,,,,4.0,4.0,snap_proxy,0,0
Jahan Dotson,jahan dotson,00-0037741,DotsJa00,ATL,WR,2026,1,1,63.0,63.0,0.7096,0.7096,0.1579,0.1579,0.6753,63.0,63.0,snap_proxy,3,1
Bijan Robinson,bijan robinson,00-0038542,RobiBi01,ATL,RB,2026,1,1,77.0,77.0,0.5167,0.5167,0.5263,0.5263,-0.3896,77.0,77.0,snap_proxy,10,8
Drake London,drake london,00-0037238,LondDr00,ATL,WR,2026,1,1,98.0,98.0,0.5158,0.5158,0.2105,0.2105,0.2857,98.0,98.0,snap_proxy,4,2
Kyle Pitts,kyle pitts,00-0036970,PittKy00,ATL,TE,2026,1,1,63.0,63.0,0.3153,0.3153,0.0526,0.0526,0.3377,63.0,63.0,snap_proxy,1,0
Olamide Zaccheaus,olamide zaccheaus,00-0035208,ZaccOl01,ATL,WR,2026,1,1,30.0,30.0,0.1244,0.1244,0.0526,0.0526,0.0649,30.0,30.0,snap_proxy,1,1
Brian Robinson Jr.,brian robinson,00-0037746,RobiBr01,ATL,RB,2026,1,1,25.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,snap_proxy,0,0
Chris Blair,chris blair,00-0036463,BlaiCh00,ATL,WR,2026,1,1,17.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,snap_proxy,0,0
Nick Muse,nick muse,00-0037317,MuseNi00,ATL,TE,2026,1,1,8.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,snap_proxy,0,0
Zachariah Branch,zachariah branch,00-0041044,BranZa00,ATL,WR,2026,1,1,30.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,snap_proxy,0,0
Austin Hooper,austin hooper,nan,HoopAu00,ATL,TE,2026,1,1,23.0,23.0,,,,,,23.0,23.0,snap_proxy,0,0
Charlie Woerner,charlie woerner,nan,WoerCh00,ATL,TE,2026,1,1,62.0,62.0,,,,,,62.0,62.0,snap_proxy,0,0
Zay Flowers,zay flowers,00-0039064,FlowZa00,BAL,WR,2026,1,1,29.0,29.0,0.6118,0.6118,0.25,0.25,0.3383,29.0,29.0,snap_proxy,6,5
Mark Andrews,mark andrews,00-0034753,AndrMa00,BAL,TE,2026,1,1,72.0,72.0,0.4895,0.4895,0.25,0.25,0.1636,72.0,72.0,snap_proxy,6,4
Chris Moore,chris moore,00-0032398,MoorCh00,BAL,WR,2026,1,1,37.0,37.0,0.302,0.302,0.0833,0.0833,0.2528,37.0,37.0,snap_proxy,2,1
Ja'Kobi Lane,jakobi lane,00-0040870,LaneJa01,BAL,WR,2026,1,1,40.0,40.0,0.2656,0.2656,0.125,0.125,0.1115,40.0,40.0,snap_proxy,3,1
LaJohntay Wester,lajohntay wester,00-0040075,WestLa01,BAL,WR,2026,1,1,29.0,29.0,0.1536,0.1536,0.0833,0.0833,0.0409,29.0,29.0,snap_proxy,2,2
Rashod Bateman,rashod bateman,00-0036550,BateRa00,BAL,WR,2026,1,1,78.0,78.0,0.1224,0.1224,0.0417,0.0417,0.0855,78.0,78.0,snap_proxy,1,0
Durham Smythe,durham smythe,00-0034798,SmytDu00,BAL,TE,2026,1,1,62.0,62.0,0.0729,0.0729,0.0417,0.0417,0.0149,62.0,62.0,snap_proxy,1,1
Matthew Hibner,matthew hibner,00-0040879,HibnMa00,BAL,TE,2026,1,1,34.0,34.0,0.0651,0.0651,0.0417,0.0417,0.0037,34.0,34.0,snap_proxy,1,1
