PLAYER_NAME,PLAYER_NORM,team_pp,def_league,season_avg,games,category,prop_norm,team_slate,TEAM,rank_on_team,leader_side,PLAYER_NAME_split,league,def_bucket,n_games,n,n_elite,n_weak,over_rate,avg_delta_all,avg_delta_vs_elite,avg_delta_vs_weak,avg_delta_vs_mid,def_rank_corr,weak_over_rate,elite_over_rate,def_boost,def_boost_hist,overperform_vs_weak,fades_vs_elite,player
Abdulbasit Hindi,abdulbasit hindi,ABH,ksa.1,0.0,5,assists,assists,ABH,ABH,1,bottom,Abdulbasit Hindi,ksa.1,unknown,2,2,0,0,0.0,0.0,,,,,,,,,False,False,Abdulbasit Hindi
Abdullah Al Fahad,abdullah al fahad,ABH,ksa.1,0.0,5,assists,assists,ABH,ABH,2,bottom,Abdullah Al Fahad,ksa.1,unknown,2,2,0,0,0.0,0.0,,,,,,,,,False,False,Abdullah Al Fahad
Basil Yousef Al-Sayyali,basil yousef al-sayyali,ABH,ksa.1,0.0,5,assists,assists,ABH,ABH,3,bottom,Basil Yousef Al-Sayyali,ksa.1,unknown,2,2,0,0,0.0,0.0,,,,,,,,,False,False,Basil Yousef Al-Sayyali
Abdulbasit Hindi,abdulbasit hindi,ABH,ksa.1,0.0,5,assists,assists,ABH,ABH,1,top,Abdulbasit Hindi,ksa.1,unknown,2,2,0,0,0.0,0.0,,,,,,,,,False,False,Abdulbasit Hindi
Abdullah Al Fahad,abdullah al fahad,ABH,ksa.1,0.0,5,assists,assists,ABH,ABH,2,top,Abdullah Al Fahad,ksa.1,unknown,2,2,0,0,0.0,0.0,,,,,,,,,False,False,Abdullah Al Fahad
Basil Yousef Al-Sayyali,basil yousef al-sayyali,ABH,ksa.1,0.0,5,assists,assists,ABH,ABH,3,top,Basil Yousef Al-Sayyali,ksa.1,unknown,2,2,0,0,0.0,0.0,,,,,,,,,False,False,Basil Yousef Al-Sayyali
Abdulbasit Hindi,abdulbasit hindi,ABH,ksa.1,0.0,5,goals,goals,ABH,ABH,1,bottom,Abdulbasit Hindi,ksa.1,unknown,2,2,0,0,0.0,0.0,,,,,,,,,False,False,Abdulbasit Hindi
Abdullah Al Fahad,abdullah al fahad,ABH,ksa.1,0.0,5,goals,goals,ABH,ABH,2,bottom,Abdullah Al Fahad,ksa.1,unknown,2,2,0,0,0.0,0.0,,,,,,,,,False,False,Abdullah Al Fahad
Basil Yousef Al-Sayyali,basil yousef al-sayyali,ABH,ksa.1,0.0,5,goals,goals,ABH,ABH,3,bottom,Basil Yousef Al-Sayyali,ksa.1,unknown,2,2,0,0,0.0,0.0,,,,,,,,,False,False,Basil Yousef Al-Sayyali
Koshaim Al Karani,koshaim al karani,ABH,ksa.1,0.2,5,goals,goals,ABH,ABH,1,top,Koshaim Al Karani,ksa.1,unknown,2,2,0,0,0.0,-0.29166666666666663,,,,,,,,,False,False,Koshaim Al Karani
Michy Batshuayi,michy batshuayi,ABH,ksa.1,0.2,5,goals,goals,ABH,ABH,2,top,Michy Batshuayi,ksa.1,unknown,2,2,0,0,0.0,-0.45,,,,,,,,,False,False,Michy Batshuayi
Nabil Fekir,nabil fekir,ABH,ksa.1,0.2,5,goals,goals,ABH,ABH,3,top,Nabil Fekir,ksa.1,unknown,2,2,0,0,0.5,0.5,,,,,,,,,False,False,Nabil Fekir
Donovan Léon,donovan leon,ABH,ksa.1,2.0,5,saves,saves,ABH,ABH,1,bottom,Donovan Léon,ksa.1,unknown,2,2,0,0,0.5,0.25,,,,,,,,,False,False,Donovan Léon
Donovan Léon,donovan leon,ABH,ksa.1,2.0,5,saves,saves,ABH,ABH,1,top,Donovan Léon,ksa.1,unknown,2,2,0,0,0.5,0.25,,,,,,,,,False,False,Donovan Léon
Abdulbasit Hindi,abdulbasit hindi,ABH,ksa.1,0.0,5,shots,shots,ABH,ABH,1,bottom,Abdulbasit Hindi,ksa.1,unknown,2,2,0,0,0.0,0.0,,,,,,,,,False,False,Abdulbasit Hindi
Abdullah Al Fahad,abdullah al fahad,ABH,ksa.1,0.0,5,shots,shots,ABH,ABH,2,bottom,Abdullah Al Fahad,ksa.1,unknown,2,2,0,0,0.0,0.0,,,,,,,,,False,False,Abdullah Al Fahad
Basil Yousef Al-Sayyali,basil yousef al-sayyali,ABH,ksa.1,0.0,5,shots,shots,ABH,ABH,3,bottom,Basil Yousef Al-Sayyali,ksa.1,unknown,2,2,0,0,0.0,0.0,,,,,,,,,False,False,Basil Yousef Al-Sayyali
Michy Batshuayi,michy batshuayi,ABH,ksa.1,2.0,5,shots,shots,ABH,ABH,1,top,Michy Batshuayi,ksa.1,unknown,3,3,0,0,0.0,-1.5238095238095237,,,,,,,,,False,False,Michy Batshuayi
Koshaim Al Karani,koshaim al karani,ABH,ksa.1,1.0,5,shots,shots,ABH,ABH,2,top,Koshaim Al Karani,ksa.1,unknown,2,2,0,0,0.0,-1.4583333333333335,,,,,,,,,False,False,Koshaim Al Karani
Nabil Fekir,nabil fekir,ABH,ksa.1,0.8,5,shots,shots,ABH,ABH,3,top,Nabil Fekir,ksa.1,unknown,4,4,0,0,0.5,-0.055555555555555525,,,,,,,,,False,False,Nabil Fekir
Abdulbasit Hindi,abdulbasit hindi,ABH,ksa.1,0.0,5,shots_on_target,shots_on_target,ABH,ABH,1,bottom,Abdulbasit Hindi,ksa.1,unknown,2,2,0,0,0.0,0.0,,,,,,,,,False,False,Abdulbasit Hindi
Abdullah Al Fahad,abdullah al fahad,ABH,ksa.1,0.0,5,shots_on_target,shots_on_target,ABH,ABH,2,bottom,Abdullah Al Fahad,ksa.1,unknown,2,2,0,0,0.0,0.0,,,,,,,,,False,False,Abdullah Al Fahad
Basil Yousef Al-Sayyali,basil yousef al-sayyali,ABH,ksa.1,0.0,5,shots_on_target,shots_on_target,ABH,ABH,3,bottom,Basil Yousef Al-Sayyali,ksa.1,unknown,2,2,0,0,0.0,0.0,,,,,,,,,False,False,Basil Yousef Al-Sayyali
Michy Batshuayi,michy batshuayi,ABH,ksa.1,0.8,5,shots_on_target,shots_on_target,ABH,ABH,1,top,Michy Batshuayi,ksa.1,unknown,3,3,0,0,0.3333333333333333,-0.49206349206349204,,,,,,,,,False,False,Michy Batshuayi
Koshaim Al Karani,koshaim al karani,ABH,ksa.1,0.4,5,shots_on_target,shots_on_target,ABH,ABH,2,top,Koshaim Al Karani,ksa.1,unknown,2,2,0,0,0.0,-0.5833333333333333,,,,,,,,,False,False,Koshaim Al Karani
Nabil Fekir,nabil fekir,ABH,ksa.1,0.4,5,shots_on_target,shots_on_target,ABH,ABH,3,top,Nabil Fekir,ksa.1,unknown,4,4,0,0,0.25,0.3368055555555556,,,,,,,,,False,False,Nabil Fekir
Kamil Boumedmed,kamil boumedmed,ABHA,First Division League,0.0,5,assists,assists,ABHA,ABHA,1,bottom,Kamil Boumedmed,Saudi Pro League,unknown,5,5,0,0,0.0,0.0,,,,,,,,,False,False,Kamil Boumedmed
Kamil Boumedmed,kamil boumedmed,ABHA,First Division League,0.0,5,assists,assists,ABHA,ABHA,1,top,Kamil Boumedmed,Saudi Pro League,unknown,5,5,0,0,0.0,0.0,,,,,,,,,False,False,Kamil Boumedmed
