team_id,team_abbr,team_name,season,points_allowed_pg,pa_rank,opp_pass_ypg,pass_def_rank,opp_rush_ypg,rush_def_rank,sacks,sacks_rank,turnovers_forced,to_rank,updated_at,opp_fg_made,opp_fg_att,opp_fg_pct,opp_xp_made,opp_fg_made_pg,opp_kick_pts_pg,fg_def_rank,kick_pts_def_rank
22,ARI,Arizona Cardinals,2026,28.705882352941178,29.0,230.76471,24,126.941,25,30.0,28,21.0,14,2026-09-10T20:44:53Z,,,,,,,,
1,ATL,Atlanta Falcons,2026,23.58823529411765,19.0,200.41176,13,126.235,24,57.0,2,18.0,19,2026-09-10T20:44:53Z,,,,,,,,
33,BAL,Baltimore Ravens,2026,23.41176470588235,18.0,247.94118,30,106.647,10,30.0,28,23.0,7,2026-09-10T20:44:53Z,,,,,,,,
2,BUF,Buffalo Bills,2026,21.47058823529412,12.0,156.94118,1,136.176,28,36.0,20,19.0,17,2026-09-10T20:44:53Z,,,,,,,,
29,CAR,Carolina Panthers,2026,22.352941176470587,15.0,203.94118,15,123.294,20,30.0,28,23.0,7,2026-09-10T20:44:53Z,,,,,,,,
3,CHI,Chicago Bears,2026,24.41176470588235,23.0,227.23529,22,134.529,27,35.0,22,11.0,32,2026-09-10T20:44:53Z,,,,,,,,
4,CIN,Cincinnati Bengals,2026,28.94117647058824,30.0,233.82353,26,147.059,32,34.0,26,24.0,4,2026-09-10T20:44:53Z,,,,,,,,
5,CLE,Cleveland Browns,2026,22.294117647058822,14.0,167.23529,3,116.412,16,53.0,3,25.0,3,2026-09-10T20:44:53Z,,,,,,,,
6,DAL,Dallas Cowboys,2026,30.058823529411764,32.0,251.52942,32,125.471,23,35.0,22,21.0,14,2026-09-10T20:44:53Z,,,,,,,,
7,DEN,Denver Broncos,2026,18.294117647058822,3.0,187.17647,7,91.059,2,68.0,1,17.0,21,2026-09-10T20:44:53Z,,,,,,,,
8,DET,Detroit Lions,2026,24.294117647058822,22.0,217.35294,20,114.529,14,49.0,4,15.0,25,2026-09-10T20:44:53Z,,,,,,,,
9,GB,Green Bay Packers,2026,21.176470588235293,11.0,194.11765,11,117.706,18,36.0,20,13.0,30,2026-09-10T20:44:53Z,,,,,,,,
34,HOU,Houston Texans,2026,17.352941176470587,2.0,183.52942,6,93.706,4,47.0,7,12.0,31,2026-09-10T20:44:53Z,,,,,,,,
11,IND,Indianapolis Colts,2026,24.23529411764705,21.0,247.94118,30,101.882,7,39.0,15,23.0,7,2026-09-10T20:44:53Z,,,,,,,,
30,JAX,Jacksonville Jaguars,2026,19.764705882352946,8.0,218.05882,21,85.588,1,32.0,27,18.0,19,2026-09-10T20:44:53Z,,,,,,,,
12,KC,Kansas City Chiefs,2026,19.294117647058822,6.0,195.82353,12,105.706,9,35.0,22,15.0,25,2026-09-10T20:44:53Z,,,,,,,,
24,LAC,Los Angeles Chargers,2026,20.0,9.0,179.88235,5,105.353,8,45.0,10,21.0,14,2026-09-10T20:44:53Z,,,,,,,,
14,LAR,Los Angeles Rams,2026,20.352941176470587,10.0,216.70589,19,110.824,12,47.0,7,15.0,25,2026-09-10T20:44:53Z,,,,,,,,
13,LV,Las Vegas Raiders,2026,25.41176470588235,25.0,201.0,14,116.824,17,37.0,18,23.0,7,2026-09-10T20:44:53Z,,,,,,,,
15,MIA,Miami Dolphins,2026,24.94117647058824,24.0,216.35294,18,132.412,26,39.0,15,24.0,4,2026-09-10T20:44:53Z,,,,,,,,
16,MIN,Minnesota Vikings,2026,19.58823529411765,7.0,158.47058,2,124.118,21,49.0,4,30.0,1,2026-09-10T20:44:53Z,,,,,,,,
17,NE,New England Patriots,2026,18.823529411764707,4.0,193.52942,9,101.706,6,35.0,22,16.0,23,2026-09-10T20:44:53Z,,,,,,,,
18,NO,New Orleans Saints,2026,22.529411764705884,16.0,179.17647,4,120.588,19,45.0,10,24.0,4,2026-09-10T20:44:53Z,,,,,,,,
19,NYG,New York Giants,2026,25.823529411764707,26.0,214.23529,16,145.294,31,39.0,15,17.0,21,2026-09-10T20:44:53Z,,,,,,,,
20,NYJ,New York Jets,2026,29.58823529411765,31.0,216.11765,17,139.471,29,26.0,31,23.0,7,2026-09-10T20:44:53Z,,,,,,,,
21,PHI,Philadelphia Eagles,2026,19.11764705882353,5.0,189.76471,8,124.412,22,42.0,12,15.0,25,2026-09-10T20:44:53Z,,,,,,,,
23,PIT,Pittsburgh Steelers,2026,22.764705882352946,17.0,243.88235,29,113.059,13,48.0,6,15.0,25,2026-09-10T20:44:53Z,,,,,,,,
26,SEA,Seattle Seahawks,2026,17.176470588235293,1.0,193.94118,10,91.941,3,47.0,7,28.0,2,2026-09-10T20:44:53Z,,,,,,,,
25,SF,San Francisco 49ers,2026,21.823529411764707,13.0,232.41176,25,107.824,11,20.0,32,22.0,13,2026-09-10T20:44:53Z,,,,,,,,
27,TB,Tampa Bay Buccaneers,2026,24.176470588235293,20.0,238.17647,27,99.059,5,37.0,18,16.0,23,2026-09-10T20:44:53Z,,,,,,,,
10,TEN,Tennessee Titans,2026,28.11764705882353,28.0,230.52942,23,114.588,15,42.0,12,19.0,17,2026-09-10T20:44:53Z,,,,,,,,
28,WSH,Washington Commanders,2026,26.529411764705884,27.0,242.47058,28,141.824,30,42.0,12,23.0,7,2026-09-10T20:44:53Z,,,,,,,,
